Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
India,Panama,2013,EXPIMP,Fuels,343.25,11.2,0.16,0.03,,,,5,5,1,100,0,0,0,5,5,0,11.2,0,5,5,1,100,0,0,0,5,5,0,11.2,0
India,Philippines,2013,EXPIMP,Fuels,10257.31,7059.18,0.7,1.73,0.14,-2.48,103.18,3.25,2.51,12,83.33,16.67,0,0,5,0,0,7059.18,0,3.25,2.51,12,83.33,16.67,0,0,5,0,0,7059.18,0
India,Poland,2013,EXPIMP,Fuels,1358,80671.41,0.13,12.02,0.01,-4.36,15.73,5.33,9.96,22,95.45,4.55,0,0,10,0,0,80671.41,0,5.33,9.96,22,95.45,4.55,0,0,10,0,0,80671.41,0
India,"Korea, Dem. Rep.",2013,EXPIMP,Fuels,68424.31,202.92,28.58,0.27,,,,4.72,5,15,93.33,6.67,0,0,5,0,0,202.92,0,4.72,5,15,93.33,6.67,0,0,5,0,0,202.92,0
India,Portugal,2013,EXPIMP,Fuels,141.85,22263.16,0.02,7.29,0,-0.81,2.55,7.5,10,3,100,0,0,0,10,5,0,22263.16,0,7.5,10,3,100,0,0,0,10,5,0,22263.16,0
India,Qatar,2013,EXPIMP,Fuels,54486.67,13471113.93,7.18,92.23,1.27,-5.88,10.32,4.42,3.53,24,91.67,8.33,0,0,5,0,0,9526954.55,3944159.37,4.42,3.53,24,91.67,8.33,0,0,5,0,0,9526954.55,3944159.37
India,Romania,2013,EXPIMP,Fuels,594.98,40.89,0.19,0.01,2.41,-8.09,-31.11,10,10,2,100,0,0,0,10,10,0,40.89,0,10,10,2,100,0,0,0,10,10,0,40.89,0
India,Russian Federation,2013,EXPIMP,Fuels,8001.47,312981.54,0.33,8.21,0.25,-5.2,-3.7,4.9,3.63,33,90.91,9.09,0,0,10,0,0,230788.39,82193.15,4.9,3.63,33,90.91,9.09,0,0,10,0,0,230788.39,82193.15
India,South Asia,2013,EXPIMP,Fuels,1803288.82,47064.63,10.67,2.18,,,,5.17,4.94,63,92.06,7.94,0,0,10,0,0,47064.63,0,5.81,4.94,35,94.29,5.71,0,0,10,0,0,47064.63,0
India,Saudi Arabia,2013,EXPIMP,Fuels,6877518.83,32933977.83,55.66,89.99,1.51,81.6,94.21,4.17,0.26,18,88.89,11.11,0,0,5,0,0,1731070.66,31202907.17,4.17,0.26,18,88.89,11.11,0,0,5,0,0,1731070.66,31202907.17
India,Senegal,2013,EXPIMP,Fuels,2861.07,1.91,0.57,0,0.03,2.62,-6.55,5,5,1,100,0,0,0,5,5,0,1.91,0,5,5,1,100,0,0,0,5,5,0,1.91,0
India,"Serbia, FR(Serbia/Montenegro)",2013,EXPIMP,Fuels,173.11,61.12,0.24,0.54,0.02,-3.18,-57.74,4.17,4.17,9,88.89,11.11,0,0,5,0,0,61.12,0,4.17,4.17,9,88.89,11.11,0,0,5,0,0,61.12,0
India,Singapore,2013,EXPIMP,Fuels,8190634.1,566930.41,57.73,8.07,2.16,-2.85,-20.04,6.61,4.91,37,97.3,2.7,0,0,10,0,0,566930.41,0,6.61,4.91,37,97.3,2.7,0,0,10,0,0,566930.41,0
India,Sub-Saharan Africa,2013,EXPIMP,Fuels,9290991.07,24679296.22,33.54,73.2,,,,3.94,0.3,69,82.61,17.39,0,0,10,0,0,2611058.16,22068238.07,5.25,0.3,36,91.67,8.33,0,0,10,0,0,2611058.16,22068238.07
India,Sudan,2013,EXPIMP,Fuels,1286.47,260802.69,0.15,78.55,0.52,20.3,528.46,0,0,1,0,100,0,0,0,0,0,0,260802.69,0,0,1,0,100,0,0,0,0,0,0,260802.69
India,Slovenia,2013,EXPIMP,Fuels,221.71,2.81,0.09,0,2.53,-4.4,9.01,5,5,1,100,0,0,0,5,5,0,2.81,0,5,5,1,100,0,0,0,5,5,0,2.81,0
India,Sweden,2013,EXPIMP,Fuels,678.47,23478.48,0.09,1.4,0,-6.92,31.07,5.95,4.47,24,95.83,4.17,0,0,10,0,0,23478.48,0,5.95,4.47,24,95.83,4.17,0,0,10,0,0,23478.48,0
India,Eswatini,2013,EXPIMP,Fuels,134.12,5.54,0.49,0.02,,,,4.17,4.17,9,88.89,11.11,0,0,5,0,0,5.54,0,4.17,4.17,9,88.89,11.11,0,0,5,0,0,5.54,0
India,Chad,2013,EXPIMP,Fuels,227.93,98873.46,0.3,75.03,,,,0,0,1,0,100,0,0,0,0,0,0,98873.46,0,0,1,0,100,0,0,0,0,0,0,98873.46
India,Togo,2013,EXPIMP,Fuels,183479.05,1.46,36.91,0,0.12,35.63,-65.87,5,5,1,100,0,0,0,5,5,0,1.46,0,5,5,1,100,0,0,0,5,5,0,1.46,0
India,Thailand,2013,EXPIMP,Fuels,71162.68,47134.03,1.69,0.86,0.07,4.42,3.12,6.42,5.63,26,96.15,3.85,0,0,10,0,0,47134.03,0,6.42,5.63,26,96.15,3.85,0,0,10,0,0,47134.03,0
India,Tajikistan,2013,EXPIMP,Fuels,0,3.39,,0.61,,,,4.17,4.17,9,88.89,11.11,0,0,5,0,0,3.39,0,4.17,4.17,9,88.89,11.11,0,0,5,0,0,3.39,0
India,Tunisia,2013,EXPIMP,Fuels,414.45,1.26,0.14,0,0.01,0.71,-33.07,5,5,1,100,0,0,0,5,5,0,1.26,0,5,5,1,100,0,0,0,5,5,0,1.26,0
India,Turkey,2013,EXPIMP,Fuels,815674.35,269583.26,17.91,30.91,2.02,67.25,10.35,5.52,0.36,23,91.3,8.7,0,0,10,0,0,15991.3,253591.96,5.52,0.36,23,91.3,8.7,0,0,10,0,0,15991.3,253591.96
India,Ukraine,2013,EXPIMP,Fuels,2366.34,214879.47,0.46,10.18,0.01,-9.96,-10.4,6.73,8.78,32,93.75,6.25,0,0,10,0,0,214879.47,0,6.73,8.78,32,93.75,6.25,0,0,10,0,0,214879.47,0
India,Unspecified,2013,EXPIMP,Fuels,5127348.41,141611.44,60.48,7.11,,,,5.81,2.64,22,90.91,9.09,0,0,10,0,0,141611.44,0,5.81,2.64,22,90.91,9.09,0,0,10,0,0,141611.44,0
India,United States,2013,EXPIMP,Fuels,3747163.53,1572219.7,8.93,6.96,0.56,-5.34,9.84,6.2,3.47,56,96.43,3.57,0,0,10,0,0,1572219.7,0,6.2,3.47,56,96.43,3.57,0,0,10,0,0,1572219.7,0
India,Uzbekistan,2013,EXPIMP,Fuels,0,299.4,,0.85,,,,4.17,4.17,9,88.89,11.11,0,0,5,0,0,299.4,0,4.17,4.17,9,88.89,11.11,0,0,5,0,0,299.4,0
India,Venezuela,2013,EXPIMP,Fuels,0,14942614.61,,99.96,,,,1.17,0,4,50,50,0,0,5,0,0,49.01,14942565.6,1.17,0,4,50,50,0,0,5,0,0,49.01,14942565.6
India,Vietnam,2013,EXPIMP,Fuels,39462.83,13081.06,0.66,0.46,0.2,-5.95,46.63,5,5,2,100,0,0,0,5,5,0,13081.06,0,5,5,2,100,0,0,0,5,5,0,13081.06,0
India, World,2013,EXPIMP,Fuels,69571280.73,184194008.9,20.67,39.52,0.91,-1.05,3.2,5.49,0.77,1555,92.22,7.78,0,0,10,0,0,36147349.71,148046659.2,29.9,0.77,75,94.67,4,0,0.06,1007.17,0,0,36147349.71,148046659.2
India,Yemen,2013,EXPIMP,Fuels,462296.12,904447.84,34.55,97.88,0.24,-74.18,3.9,3.83,2.15,16,87.5,12.5,0,0,5,0,0,388503.97,515943.87,3.83,2.15,16,87.5,12.5,0,0,5,0,0,388503.97,515943.87
India,South Africa,2013,EXPIMP,Fuels,2002591.06,1978635.69,34.87,26.91,1.56,-1.36,11.01,5.77,2.41,30,93.33,6.67,0,0,10,0,0,1978635.69,0,5.77,2.41,30,93.33,6.67,0,0,10,0,0,1978635.69,0
