Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
India,Angola,2017,EXPIMP,Fuels,510.08,3525098.81,0.22,85.6,1.69,2.87,-24.87,1.25,0.28,2,50,50,0,0,2.5,0,0,394347.96,3130750.84,1.25,0.28,2,50,50,0,0,2.5,0,0,394347.96,3130750.84
India,United Arab Emirates,2017,EXPIMP,Fuels,4561945.19,9323674.79,15.93,40.34,1.41,75.08,350.54,3.61,0.68,30,96.67,3.33,0,0,5,0,0,2763574.58,6560100.21,3.61,0.68,30,96.67,3.33,0,0,5,0,0,2763574.58,6560100.21
India,Antigua and Barbuda,2017,EXPIMP,Fuels,0,0.62,,2.63,,,,,,,,,,,,,0,0.62,0,,,,,,,,,,0,0.62,0
India,Australia,2017,EXPIMP,Fuels,1371959.81,9040530.22,35.4,62.99,2.94,16.14,18.66,3.13,2.54,18,94.44,5.56,0,0,5,0,0,9040529.9,0.32,3.13,2.54,18,94.44,5.56,0,0,5,0,0,9040529.9,0.32
India,Austria,2017,EXPIMP,Fuels,15.99,4660.33,0,0.52,0,10.76,0.34,3.75,2.51,5,100,0,0,0,5,2.5,0,4660.33,0,3.75,2.51,5,100,0,0,0,5,2.5,0,4660.33,0
India,Azerbaijan,2017,EXPIMP,Fuels,228.48,538809.78,0.55,98.86,0.06,15.77,41.65,0,0,1,0,100,0,0,0,0,0,0,538809.78,0,0,1,0,100,0,0,0,0,0,0,538809.78
India,Belgium,2017,EXPIMP,Fuels,192268.27,71445.23,3.09,1.2,0.08,13.41,-3.87,3.89,2.58,17,94.12,5.88,0,0,5,0,0,71444.56,0.66,3.89,2.58,17,94.12,5.88,0,0,5,0,0,71444.56,0.66
India,Bangladesh,2017,EXPIMP,Fuels,382604.92,21123.08,5.31,3.57,,,,,,,,,,,,,0,21123.08,0,,,,,,,,,,0,21123.08,0
India,Bahrain,2017,EXPIMP,Fuels,4361.84,50746.61,0.89,14.09,0.06,16.25,175.31,3.75,2.76,5,100,0,0,0,5,2.5,0,50746.61,0,3.75,2.76,5,100,0,0,0,5,2.5,0,50746.61,0
India,"Bahamas, The",2017,EXPIMP,Fuels,0,4.29,,0.01,,,,,,,,,,,,,0,4.29,0,,,,,,,,,,0,4.29,0
