Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
India,Angola,2014,EXPIMP,Fuels,90.61,5463023.37,0.01,96.83,1.76,-10.81,"7,159.96",,,,,,,,,,,,,,,,,,,,,,,,
India,Albania,2014,EXPIMP,Fuels,0,96504.44,,98.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,United Arab Emirates,2014,EXPIMP,Fuels,7208789.5,14423678.5,21.9,52.86,0.54,2.78,-8.78,,,,,,,,,,,,,,,,,,,,,,,,
India,Argentina,2014,EXPIMP,Fuels,2391.31,215670.56,0.48,10.72,0.02,-4.85,-53.84,,,,,,,,,,,,,,,,,,,,,,,,
India,Antigua and Barbuda,2014,EXPIMP,Fuels,0,1.5,,0.38,0,465.51,1.04,,,,,,,,,,,,,,,,,,,,,,,,
India,Australia,2014,EXPIMP,Fuels,363934.7,5487326.48,14.03,55.23,0.7,-5.61,392.16,,,,,,,,,,,,,,,,,,,,,,,,
India,Austria,2014,EXPIMP,Fuels,79.59,6.86,0.02,0,0,-6.03,145.64,,,,,,,,,,,,,,,,,,,,,,,,
India,Azerbaijan,2014,EXPIMP,Fuels,191.93,415580.68,0.17,98.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Belgium,2014,EXPIMP,Fuels,103384.77,9017.05,1.75,0.08,0.09,-6.35,-58.36,,,,,,,,,,,,,,,,,,,,,,,,
India,Bangladesh,2014,EXPIMP,Fuels,181048.42,4.57,2.89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bahrain,2014,EXPIMP,Fuels,6049.53,214686.41,1.27,48.31,0,-3.71,13.09,,,,,,,,,,,,,,,,,,,,,,,,
India,"Bahamas, The",2014,EXPIMP,Fuels,63997.46,499386.21,56.12,99.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Belarus,2014,EXPIMP,Fuels,24.36,3134.02,0.05,1.58,0,-2.9,-65.71,,,,,,,,,,,,,,,,,,,,,,,,
India,Brazil,2014,EXPIMP,Fuels,4296073.42,3051096.32,60.16,55.03,2.61,-0.83,2.24,,,,,,,,,,,,,,,,,,,,,,,,
India,Brunei,2014,EXPIMP,Fuels,0.09,935097.47,0,99.2,0,15.07,"1,182.69",,,,,,,,,,,,,,,,,,,,,,,,
India,Bhutan,2014,EXPIMP,Fuels,70791.85,1045.12,35.33,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Canada,2014,EXPIMP,Fuels,628.6,517270.21,0.03,13.8,0,-2.49,-91.16,,,,,,,,,,,,,,,,,,,,,,,,
India,Switzerland,2014,EXPIMP,Fuels,0.24,2018.13,0,0.01,0,-7.95,185.95,,,,,,,,,,,,,,,,,,,,,,,,
India,Chile,2014,EXPIMP,Fuels,2070.47,69519.42,0.33,2.18,0.01,-5.35,-0.98,,,,,,,,,,,,,,,,,,,,,,,,
India,China,2014,EXPIMP,Fuels,1605473.31,828327.12,11.95,1.42,0.08,0.25,18.73,,,,,,,,,,,,,,,,,,,,,,,,
India,Cameroon,2014,EXPIMP,Fuels,4496.94,545571.02,1.95,94.39,0.26,16.32,-6.05,,,,,,,,,,,,,,,,,,,,,,,,
India,"Congo, Rep.",2014,EXPIMP,Fuels,1000.73,183503.58,0.44,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Colombia,2014,EXPIMP,Fuels,1579.51,3357462.11,0.14,94.18,0.01,8.79,3.59,,,,,,,,,,,,,,,,,,,,,,,,
India,Cyprus,2014,EXPIMP,Fuels,0,1154.37,,5.45,0,-4.8,57.17,,,,,,,,,,,,,,,,,,,,,,,,
India,Czech Republic,2014,EXPIMP,Fuels,0,6342.86,,1.25,0,-4.39,57.53,,,,,,,,,,,,,,,,,,,,,,,,
India,Germany,2014,EXPIMP,Fuels,29827.33,24873.38,0.39,0.2,0,-5.49,-75.46,,,,,,,,,,,,,,,,,,,,,,,,
India,Djibouti,2014,EXPIMP,Fuels,58286.17,0.35,19.58,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Denmark,2014,EXPIMP,Fuels,91.59,5860.96,0.01,1.29,1.54,-9.44,25.41,,,,,,,,,,,,,,,,,,,,,,,,
India,Algeria,2014,EXPIMP,Fuels,3697.65,634167.28,0.34,98.62,0.06,-18.91,-42.33,,,,,,,,,,,,,,,,,,,,,,,,
India,East Asia & Pacific,2014,EXPIMP,Fuels,13069703.37,19406757.93,18.2,13.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Europe & Central Asia,2014,EXPIMP,Fuels,6248223.01,3832758.96,10.09,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Ecuador,2014,EXPIMP,Fuels,68681.41,900387.85,23.07,91.27,0.71,2.98,-51.13,,,,,,,,,,,,,,,,,,,,,,,,
India,"Egypt, Arab Rep.",2014,EXPIMP,Fuels,655776.92,1480026.82,20.91,79.01,0.7,3.22,-17.7,,,,,,,,,,,,,,,,,,,,,,,,
India,Spain,2014,EXPIMP,Fuels,23684.14,197424.71,0.75,11.35,0.1,-2.49,-42.79,,,,,,,,,,,,,,,,,,,,,,,,
India,Estonia,2014,EXPIMP,Fuels,0,5.39,,0,0.01,5.95,-93.85,,,,,,,,,,,,,,,,,,,,,,,,
India,Finland,2014,EXPIMP,Fuels,44128.02,834.86,12.35,0.08,0.98,-8.81,-39.81,,,,,,,,,,,,,,,,,,,,,,,,
India,France,2014,EXPIMP,Fuels,725844.62,26692.21,14.25,0.79,1.41,-6.71,22.23,,,,,,,,,,,,,,,,,,,,,,,,
India,Gabon,2014,EXPIMP,Fuels,24.09,709721.33,0.06,90.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,United Kingdom,2014,EXPIMP,Fuels,242667.74,57610.75,2.51,1.2,0.85,-4.16,11.27,,,,,,,,,,,,,,,,,,,,,,,,
India,Georgia,2014,EXPIMP,Fuels,73.06,8532.16,0.07,32.75,0.01,1.45,110.95,,,,,,,,,,,,,,,,,,,,,,,,
India,Guinea,2014,EXPIMP,Fuels,977.17,222260.74,0.38,39.01,0.01,4.18,108.71,,,,,,,,,,,,,,,,,,,,,,,,
