Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
India,Afghanistan,2015,EXPIMP,Fuels,1056.14,3.72,0.2,0,0,4.9,-26.62,0,0,3,0,100,0,0,0,0,0,0,3.72,2.5,2.5,3,100,0,0,0,2.5,2.5,0,3.72,0
India,Angola,2015,EXPIMP,Fuels,81.74,3047481.5,0.03,96.15,0.23,-7.17,-68.24,0,0,1,0,100,0,0,0,0,0,0,3047481.5,0,0,1,0,100,0,0,0,0,0,0,3047481.5
India,Andorra,2015,EXPIMP,Fuels,10.51,5108.16,18.55,100,0,,,2.5,2.5,3,100,0,0,0,2.5,2.5,0,5108.16,0,2.5,2.5,3,100,0,0,0,2.5,2.5,0,5108.16,0
India,United Arab Emirates,2015,EXPIMP,Fuels,4090941.99,8545251.19,13.64,42.13,0.58,-18.07,-12.51,4.96,1.07,46,95.65,4.35,0,0,10,0,0,2298826.64,6246424.55,4.96,1.07,46,95.65,4.35,0,0,10,0,0,2298826.64,6246424.55
India,Argentina,2015,EXPIMP,Fuels,2248.92,80274.15,0.44,3.6,0.23,-22.22,165.19,2.5,0,2,50,50,0,0,5,0,0,0.76,80273.39,2.5,0,2,50,50,0,0,5,0,0,0.76,80273.39
India,Australia,2015,EXPIMP,Fuels,1105168.27,5389049.4,33.98,57.26,3.26,-22.53,102.72,4.42,2.61,29,93.1,6.9,0,0,10,0,0,5211520.52,177528.88,4.42,2.61,29,93.1,6.9,0,0,10,0,0,5211520.52,177528.88
India,Austria,2015,EXPIMP,Fuels,12.24,115.11,0,0.01,0,-17.83,-25.01,3.89,4.27,14,92.86,7.14,0,0,5,0,0,115.11,0,3.89,4.27,14,92.86,7.14,0,0,5,0,0,115.11,0
India,Azerbaijan,2015,EXPIMP,Fuels,0,76158.41,,92.75,,,,1.25,0.47,2,50,50,0,0,2.5,0,0,14220.14,61938.28,1.25,0.47,2,50,50,0,0,2.5,0,0,14220.14,61938.28
India,Belgium,2015,EXPIMP,Fuels,33355.62,99003.17,0.67,1.19,0.09,-21.25,-21.56,5.21,4.89,20,95,5,0,0,10,0,0,99003.17,0,5.21,4.89,20,95,5,0,0,10,0,0,99003.17,0
India,Bangladesh,2015,EXPIMP,Fuels,148090.55,20048.01,2.68,3.13,0.27,,,0,0,7,0,100,0,0,0,0,0,0,20048.01,5,5,7,100,0,0,0,5,5,0,20048.01,0
India,Bahrain,2015,EXPIMP,Fuels,4344.48,104125.56,0.79,29.29,0.01,-27.79,22.31,5.21,4.65,26,96.15,3.85,0,0,10,0,0,104125.56,0,5.21,4.65,26,96.15,3.85,0,0,10,0,0,104125.56,0
