Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
India,Angola,2012,EXPIMP,Fuels,126.22,7951282.29,0.02,99.14,0,-31.69,180.85,2.08,0,10,80,20,0,0,5,0,0,19.95,6729543.03,2.08,0,10,80,20,0,0,5,0,0,19.95,6729543.03
India,Albania,2012,EXPIMP,Fuels,76.14,38501.06,0.45,89.12,0.55,1.14,-31.01,0,0,1,0,100,0,0,0,0,0,0,161807.45,0,0,1,0,100,0,0,0,0,0,0,161807.45
India,United Arab Emirates,2012,EXPIMP,Fuels,6510661.45,15431945.52,18.2,40.83,1.04,72.66,164.97,5.19,0.71,41,90.24,9.76,0,0,10,0,0,2051319.24,12053004.22,5.19,0.71,41,90.24,9.76,0,0,10,0,0,2051319.24,12053004.22
India,Argentina,2012,EXPIMP,Fuels,2848.9,157.24,0.57,0.01,0.05,-3.6,-66.95,5,5,1,100,0,0,0,5,5,0,2.28,0,5,5,1,100,0,0,0,5,5,0,2.28,0
India,Antigua and Barbuda,2012,EXPIMP,Fuels,0,7.98,,3.58,0.03,-5.96,81.09,5,5,1,100,0,0,0,5,5,0,7.48,0,5,5,1,100,0,0,0,5,5,0,7.48,0
India,Australia,2012,EXPIMP,Fuels,224974.96,6344647.47,8.54,49.07,0.37,3.51,23.68,5.98,1.6,29,86.21,13.79,0,0,10,0,0,5066031.12,379107.58,5.98,1.6,29,86.21,13.79,0,0,10,0,0,5066031.12,379107.58
India,Austria,2012,EXPIMP,Fuels,20.75,2301.67,0.01,0.23,0,1.02,-32.4,2.92,1.67,12,75,25,0,0,5,0,0,1051.58,0,2.92,1.67,12,75,25,0,0,5,0,0,1051.58,0
India,Azerbaijan,2012,EXPIMP,Fuels,6.29,1754286.61,0.01,99.82,,,,1.25,0.02,2,50,50,0,0,2.5,0,0,6539.72,964129.92,1.25,0.02,2,50,50,0,0,2.5,0,0,6539.72,964129.92
India,Belgium,2012,EXPIMP,Fuels,94250.67,16120.87,1.7,0.16,0.27,0.01,-33.82,6.76,5.2,29,89.66,10.34,0,0,10,0,0,5897.47,0,6.76,5.2,29,89.66,10.34,0,0,10,0,0,5897.47,0
India,Benin,2012,EXPIMP,Fuels,63.69,4681.54,0.01,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
