Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
India,Aruba,2016,EXPIMP,Fuels,0,3175.25,,74.96,,,,5,5,1,100,0,0,0,5,5,0,3175.25,0,5,5,1,100,0,0,0,5,5,0,3175.25,0
India,Angola,2016,EXPIMP,Fuels,38.23,1797159.57,0.03,89.77,3.47,5.63,339.72,2.5,0.3,2,50,50,0,0,5,0,0,109374.98,1687784.59,2.5,0.3,2,50,50,0,0,5,0,0,109374.98,1687784.59
India,United Arab Emirates,2016,EXPIMP,Fuels,3698482.94,8060527.45,12.31,41.89,0.24,25.06,-15.13,4.71,1.45,44,95.45,4.55,0,0,10,0,0,2429101.99,5631425.46,4.71,1.45,44,95.45,4.55,0,0,10,0,0,2429101.99,5631425.46
India,Argentina,2016,EXPIMP,Fuels,22214.71,604.78,4.35,0.02,0.51,-15.5,28.83,5,5,5,100,0,0,0,5,5,0,604.78,0,5,5,5,100,0,0,0,5,5,0,604.78,0
India,Australia,2016,EXPIMP,Fuels,769585.28,5339415.93,26.1,61.16,2.88,-10.21,-17.24,9.58,8.09,29,89.66,10.34,0,0,55,0,0,5274131.43,65284.5,9.58,8.09,29,89.66,10.34,0,0,55,0,0,5274131.43,65284.5
India,Austria,2016,EXPIMP,Fuels,14.75,28.88,0,0,0,-8.03,17.04,3.83,4.33,19,94.74,5.26,0,0,5,0,0,28.88,0,3.83,4.33,19,94.74,5.26,0,0,5,0,0,28.88,0
India,Azerbaijan,2016,EXPIMP,Fuels,0,274663.6,,97.84,0.06,,,0,0,1,0,100,0,0,0,0,0,0,274663.6,0,0,1,0,100,0,0,0,0,0,0,274663.6
India,Belgium,2016,EXPIMP,Fuels,42732.77,53252.38,0.8,0.71,0.11,-11.26,-4.55,4.27,4.77,28,96.43,3.57,0,0,5,0,0,53252.38,0,4.27,4.77,28,96.43,3.57,0,0,5,0,0,53252.38,0
India,Bangladesh,2016,EXPIMP,Fuels,150294.86,34864.16,2.65,5.15,,,,0,0,16,0,100,0,0,0,0,0,0,34864.16,4.72,4.78,16,93.75,6.25,0,0,5,0,0,34864.16,0
India,Bahrain,2016,EXPIMP,Fuels,3706.31,61234.56,0.78,18.96,0.01,-10.53,16,4.88,4.64,21,95.24,4.76,0,0,5,0,0,61234.56,0,4.88,4.64,21,95.24,4.76,0,0,5,0,0,61234.56,0
India,"Bahamas, The",2016,EXPIMP,Fuels,0,35.78,,0.01,,,,4.17,4.17,9,88.89,11.11,0,0,5,0,0,35.78,0,4.17,4.17,9,88.89,11.11,0,0,5,0,0,35.78,0
India,Belarus,2016,EXPIMP,Fuels,50.67,4.49,0.12,0,0.02,-10.53,-4.15,2.5,2.5,2,100,0,0,0,2.5,2.5,0,4.49,0,2.5,2.5,2,100,0,0,0,2.5,2.5,0,4.49,0
India,Brazil,2016,EXPIMP,Fuels,105967.11,1013784.34,4.61,28.05,0.59,-20.08,-66.38,3.81,0.18,20,90,10,0,0,5,0,0,40014.29,973770.05,3.81,0.18,20,90,10,0,0,5,0,0,40014.29,973770.05
India,Brunei,2016,EXPIMP,Fuels,0,461553.47,,99.91,0,7,29.41,0,0,1,0,100,0,0,0,0,0,0,461553.47,0,0,1,0,100,0,0,0,0,0,0,461553.47
India,Bhutan,2016,EXPIMP,Fuels,88585.52,2.22,23.67,0,,,,0,0,2,0,100,0,0,0,0,0,0,2.22,5,5,2,100,0,0,0,5,5,0,2.22,0
India,Canada,2016,EXPIMP,Fuels,922.47,268769.12,0.05,7.37,1.54,-7.43,19.65,4.48,6.58,25,92,8,0,0,10,0,0,268769.12,0,4.48,6.58,25,92,8,0,0,10,0,0,268769.12,0
India,Switzerland,2016,EXPIMP,Fuels,0.02,519.9,0,0,0,,,4.17,4.07,12,91.67,8.33,0,0,5,0,0,519.89,0,4.17,4.07,12,91.67,8.33,0,0,5,0,0,519.89,0
India,Chile,2016,EXPIMP,Fuels,1179.49,33320.64,0.18,2.73,0.01,-6.17,-6.63,4.72,6.41,8,87.5,12.5,0,0,10,0,0,33320.64,0,4.72,6.41,8,87.5,12.5,0,0,10,0,0,33320.64,0
India,China,2016,EXPIMP,Fuels,699973.71,620529.67,7.85,1.03,0.13,-5.72,-32.19,4.55,4.54,58,96.55,3.45,0,0,10,0,0,620529.67,0,4.55,4.54,58,96.55,3.45,0,0,10,0,0,620529.67,0
India,Cote d'Ivoire,2016,EXPIMP,Fuels,75959.9,25246.15,19.82,5.63,0.14,-14.96,-13.29,0,0,1,0,100,0,0,0,0,0,0,25246.15,0,0,1,0,100,0,0,0,0,0,0,25246.15
India,Cameroon,2016,EXPIMP,Fuels,3793.18,385735.73,2.47,89.92,0.21,-33.91,-13.83,0,0,1,0,100,0,0,0,0,0,0,385735.73,0,0,1,0,100,0,0,0,0,0,0,385735.73
India,"Congo, Rep.",2016,EXPIMP,Fuels,201.85,21845.79,0.14,15.24,0.03,-41.26,32.06,0,0,1,0,100,0,0,0,0,0,0,21845.79,0,0,1,0,100,0,0,0,0,0,0,21845.79
India,Colombia,2016,EXPIMP,Fuels,659.78,137003.2,0.09,28.76,0.01,-13.57,-14.08,14.33,10.38,14,85.71,14.29,0,0,55,0,0,102542.33,34460.87,14.33,10.38,14,85.71,14.29,0,0,55,0,0,102542.33,34460.87
India,Curaçao,2016,EXPIMP,Fuels,0,101105.35,,90.48,,,,2.08,0,10,80,20,0,0,5,0,0,45.48,101059.87,2.08,0,10,80,20,0,0,5,0,0,45.48,101059.87
India,Cyprus,2016,EXPIMP,Fuels,20352.97,0.59,28.12,0,0,-2.6,14.14,5,5,1,100,0,0,0,5,5,0,0.59,0,5,5,1,100,0,0,0,5,5,0,0.59,0
India,Czech Republic,2016,EXPIMP,Fuels,25.96,1594.65,0,0.3,0,-13.22,126.01,4.03,3.92,16,93.75,6.25,0,0,5,0,0,1594.65,0,4.03,3.92,16,93.75,6.25,0,0,5,0,0,1594.65,0
India,Germany,2016,EXPIMP,Fuels,35016.46,23679.43,0.49,0.21,0,-11.34,-83.01,4.34,4.34,51,96.08,3.92,0,0,5,0,0,23631.53,47.91,4.34,4.34,51,96.08,3.92,0,0,5,0,0,23631.53,47.91
India,Denmark,2016,EXPIMP,Fuels,26267.62,2647.29,3.76,0.56,0.3,-9.12,"1,188.93",4.72,4.98,15,93.33,6.67,0,0,5,0,0,2647.29,0,4.72,4.98,15,93.33,6.67,0,0,5,0,0,2647.29,0
India,Algeria,2016,EXPIMP,Fuels,1498.34,530861.47,0.17,91.81,0.07,-18.31,4.84,3.83,0.82,13,84.62,15.38,0,0,5,0,0,93282.27,437579.2,3.83,0.82,13,84.62,15.38,0,0,5,0,0,93282.27,437579.2
India,East Asia & Pacific,2016,EXPIMP,Fuels,7182993.88,14477893.87,12.13,10.54,,,,3.84,3.62,357,84.31,15.69,0,0,55,0,0,7389738.51,7088155.37,5.91,6.75,67,95.52,4.48,0,0,55,0,0,11937625.58,2540268.29
India,Europe & Central Asia,2016,EXPIMP,Fuels,3299117.38,1984752.64,6.09,3.08,,,,4.56,2.66,562,93.59,6.41,0,0,55,0,0,979835.87,1004916.77,5.98,2.66,67,95.52,4.48,0,0,55,0,0,979835.87,1004916.77
India,Ecuador,2016,EXPIMP,Fuels,574.28,70434.27,0.35,33.02,0.02,-20.54,-94.9,2.5,0,6,83.33,16.67,0,0,5,0,0,0.42,70433.85,2.5,0,6,83.33,16.67,0,0,5,0,0,0.42,70433.85
India,"Egypt, Arab Rep.",2016,EXPIMP,Fuels,41295.92,646824.08,1.98,63.26,0.28,-4.2,-12.97,4.27,0.2,29,93.1,6.9,0,0,5,0,0,26087.25,620736.83,4.27,0.2,29,93.1,6.9,0,0,5,0,0,26087.25,620736.83
India,Spain,2016,EXPIMP,Fuels,34839.27,83845.7,1.04,4.86,0.51,-11.13,70.89,4.24,4.36,31,96.77,3.23,0,0,5,0,0,83845.7,0,4.24,4.36,31,96.77,3.23,0,0,5,0,0,83845.7,0
India,Estonia,2016,EXPIMP,Fuels,12.45,1044.64,0.01,1.19,0,-15.82,"1,087.10",3.89,4.71,17,94.12,5.88,0,0,5,0,0,1044.64,0,3.89,4.71,17,94.12,5.88,0,0,5,0,0,1044.64,0
India,Finland,2016,EXPIMP,Fuels,436.01,2488.3,0.17,0.27,0.01,-2.37,19.56,4.17,4.17,9,88.89,11.11,0,0,5,0,0,2488.3,0,4.17,4.17,9,88.89,11.11,0,0,5,0,0,2488.3,0
India,France,2016,EXPIMP,Fuels,721769.72,28811.83,14.83,0.91,0.58,-11.13,-49.99,4.52,4.04,25,96,4,0,0,5,0,0,28811.83,0,4.52,4.04,25,96,4,0,0,5,0,0,28811.83,0
India,Gabon,2016,EXPIMP,Fuels,106.84,29937.78,0.25,46.44,,,,0,0,1,0,100,0,0,0,0,0,0,29937.78,0,0,1,0,100,0,0,0,0,0,0,29937.78
India,United Kingdom,2016,EXPIMP,Fuels,12976.96,33142.06,0.15,0.86,0.47,-11.7,-15.03,7.41,3.22,48,95.83,4.17,0,0,55,0,0,33142.06,0,7.41,3.22,48,95.83,4.17,0,0,55,0,0,33142.06,0
India,Guinea,2016,EXPIMP,Fuels,2082.8,47261.06,0.63,18.59,0.01,21.64,30.66,2.5,0,2,50,50,0,0,5,0,0,4.96,47256.09,2.5,0,2,50,50,0,0,5,0,0,4.96,47256.09
India,Equatorial Guinea,2016,EXPIMP,Fuels,0,907478.24,,99.86,,,,2.5,1.99,2,50,50,0,0,5,0,0,361297.13,546181.11,2.5,1.99,2,50,50,0,0,5,0,0,361297.13,546181.11
India,Greece,2016,EXPIMP,Fuels,532.77,14212.37,0.15,14.87,0.01,-7.5,24.9,3.06,1.77,11,81.82,18.18,0,0,5,0,0,5121.71,9090.66,3.06,1.77,11,81.82,18.18,0,0,5,0,0,5121.71,9090.66
India,"Hong Kong, China",2016,EXPIMP,Fuels,108952.52,1873.06,0.82,0.03,1.04,-10.53,"2,260.15",4.17,4.15,16,93.75,6.25,0,0,5,0,0,1873.06,0,4.17,4.15,16,93.75,6.25,0,0,5,0,0,1873.06,0
